Date,Open,High,Low,Close,Volume,Adj Close
2016-06-03,176.639999,177.50,172.330002,173.740005,2957700,173.740005
2016-06-02,177.199997,179.00,174.75,175.639999,3204400,175.639999
2016-06-01,176.529999,177.770004,174.259995,176.529999,4767200,176.529999
2016-05-31,185.149994,185.509995,176.610001,178.539993,24050600,178.539993
2016-05-27,178.289993,185.279999,178.279999,185.009995,5596300,185.009995
2016-05-26,176.190002,177.779999,175.00,177.669998,3538600,177.669998
2016-05-25,176.990005,178.809998,175.210007,176.710007,3567500,176.710007
2016-05-24,171.550003,178.110001,169.919998,175.910004,4626700,175.910004
2016-05-23,170.690002,171.50,169.429993,169.770004,1623600,169.770004
2016-05-20,169.410004,171.100006,168.330002,170.050003,2241000,170.050003
2016-05-19,168.75,169.830002,164.929993,168.509995,2409800,168.509995
2016-05-18,169.75,171.529999,167.669998,169.449997,3220700,169.449997
2016-05-17,168.589996,172.949997,167.649994,171.039993,5061300,171.039993
2016-05-16,161.919998,168.949997,161.309998,167.960007,5488100,167.960007
2016-05-13,160.660004,162.710007,159.119995,159.75,3127000,159.75
2016-05-12,164.039993,164.50,158.380005,161.279999,4101100,161.279999
2016-05-11,165.880005,166.270004,161.119995,163.050003,6146500,163.050003
2016-05-10,170.75,171.00,165.419998,166.210007,5434700,166.210007
2016-05-09,165.839996,172.360001,165.100006,169.490005,6545700,169.490005
2016-05-06,173.910004,176.800003,172.110001,173.940002,3059400,173.940002
2016-05-05,177.639999,179.699997,174.130005,175.220001,3554500,175.220001
2016-05-04,172.039993,178.149994,171.50,177.279999,4005500,177.279999
2016-05-03,175.800003,176.380005,172.00,174.360001,5471400,174.360001
2016-05-02,185.330002,185.330002,176.50,178.910004,10163400,178.910004
2016-04-29,189.50,201.00,189.00,194.300003,6950700,194.300003
2016-04-28,187.350006,190.330002,185.539993,186.020004,3382100,186.020004
2016-04-27,187.520004,189.070007,184.440002,187.949997,2246300,187.949997
2016-04-26,188.679993,190.880005,186.369995,188.25,1859000,188.25
2016-04-25,190.910004,192.410004,186.539993,188.039993,1754900,188.039993
2016-04-22,190.029999,192.699997,188.029999,190.759995,2007900,190.759995
2016-04-21,194.059998,195.960007,191.75,192.740005,1716200,192.740005
2016-04-20,193.50,194.759995,192.600006,193.669998,1493600,193.669998
2016-04-19,193.440002,195.25,190.669998,194.520004,2120700,194.520004
2016-04-18,191.919998,193.990005,191.259995,192.940002,1497100,192.940002
2016-04-15,195.320007,195.410004,191.759995,193.220001,1637900,193.220001
2016-04-14,194.979996,197.50,192.809998,195.720001,2031800,195.720001
2016-04-13,191.00,195.600006,190.419998,193.979996,3258200,193.979996
2016-04-12,186.029999,188.699997,185.580002,187.399994,1713600,187.399994
2016-04-11,185.759995,187.149994,184.759995,185.070007,1893600,185.070007
2016-04-08,184.600006,186.300003,182.699997,183.979996,1712800,183.979996
2016-04-07,185.740005,187.600006,181.440002,182.529999,1821100,182.529999
2016-04-06,183.570007,187.270004,183.020004,186.820007,1903000,186.820007
2016-04-05,187.630005,187.889999,182.149994,183.800003,2946800,183.800003
2016-04-04,190.389999,192.350006,187.509995,188.970001,1741800,188.970001
2016-04-01,188.789993,190.559998,185.889999,190.330002,2441100,190.330002
2016-03-31,189.479996,193.729996,189.380005,190.880005,2379000,190.880005
2016-03-30,191.050003,193.00,188.300003,189.889999,2733500,189.889999
2016-03-29,185.470001,191.479996,185.059998,189.839996,2517500,189.839996
2016-03-28,185.330002,186.00,182.270004,185.169998,1150400,185.169998
2016-03-24,181.460007,184.990005,181.029999,184.860001,1645700,184.860001
2016-03-23,187.600006,188.429993,181.820007,183.839996,2224200,183.839996
2016-03-22,185.270004,188.740005,185.00,188.399994,1570000,188.399994
2016-03-21,187.800003,189.800003,185.559998,187.119995,1598300,187.119995
2016-03-18,184.820007,189.699997,184.770004,187.919998,3243700,187.919998
2016-03-17,183.740005,184.979996,182.089996,183.440002,1777100,183.440002
2016-03-16,179.080002,183.050003,178.259995,183.050003,1897600,183.050003
2016-03-15,180.720001,182.570007,179.509995,180.220001,1622800,180.220001
2016-03-14,182.50,187.550003,181.75,182.020004,2734800,182.020004
2016-03-11,176.429993,183.860001,176.429993,182.979996,2843200,182.979996
2016-03-10,177.00,179.639999,173.759995,176.080002,2313400,176.080002
2016-03-09,173.559998,176.529999,169.279999,176.50,2806900,176.50
2016-03-08,175.050003,176.240005,172.639999,172.809998,2362400,172.809998
2016-03-07,178.00,180.00,175.889999,177.199997,1929300,177.199997
2016-03-04,178.970001,180.589996,175.25,178.550003,2934400,178.550003
2016-03-03,177.050003,178.940002,175.339996,177.300003,2499700,177.300003
2016-03-02,181.839996,182.00,175.259995,176.940002,3074700,176.940002
2016-03-01,175.690002,180.729996,175.380005,180.199997,4183300,180.199997
2016-02-29,172.199997,175.460007,171.360001,173.419998,3943000,173.419998
2016-02-26,175.240005,176.809998,172.199997,173.800003,8871000,173.800003
2016-02-25,160.050003,161.580002,156.00,158.220001,5608800,158.220001
2016-02-24,159.00,164.110001,154.789993,162.75,4531500,162.75
2016-02-23,167.199997,167.419998,159.639999,161.020004,4021600,161.020004
2016-02-22,166.539993,169.449997,164.300003,168.669998,3080700,168.669998
2016-02-19,160.00,166.00,159.149994,164.470001,3050100,164.470001
2016-02-18,165.240005,166.00,160.270004,160.699997,3311100,160.699997
2016-02-17,159.960007,164.699997,156.429993,163.529999,3831400,163.529999
2016-02-16,158.50,163.839996,155.419998,157.520004,5272500,157.520004
2016-02-12,148.00,154.149994,147.490005,152.729996,5583700,152.729996
2016-02-11,140.610001,143.419998,139.940002,141.210007,3063700,141.210007
2016-02-10,142.779999,149.809998,142.380005,143.779999,4123700,143.779999
2016-02-09,142.539993,145.309998,139.610001,140.679993,5245700,140.679993
2016-02-08,142.490005,147.199997,142.25,145.050003,4149700,145.050003
2016-02-05,151.850006,152.029999,144.479996,145.339996,4112700,145.339996
2016-02-04,154.119995,155.169998,150.630005,152.589996,3096400,152.589996
2016-02-03,155.839996,157.550003,150.839996,153.080002,3433000,153.080002
2016-02-02,162.100006,163.00,154.139999,154.820007,2749000,154.820007
2016-02-01,160.270004,161.899994,156.130005,161.100006,3629000,161.100006
2016-01-29,159.240005,163.639999,158.50,163.270004,4526100,163.270004
2016-01-28,161.869995,162.779999,154.529999,156.940002,4582900,156.940002
2016-01-27,167.089996,167.910004,157.419998,158.270004,4046100,158.270004
2016-01-26,166.669998,168.360001,162.889999,167.080002,2396600,167.080002
2016-01-25,171.119995,173.740005,167.309998,167.539993,2495000,167.539993
2016-01-22,173.550003,174.770004,168.770004,171.169998,2615200,171.169998
2016-01-21,165.990005,172.50,163.130005,169.559998,3478800,169.559998
2016-01-20,161.039993,169.330002,159.779999,164.990005,4982300,164.990005
2016-01-19,167.520004,171.839996,163.979996,166.029999,3410700,166.029999
2016-01-15,163.759995,165.309998,158.119995,163.919998,6342800,163.919998
2016-01-14,166.300003,174.880005,163.009995,172.229996,4056300,172.229996
2016-01-13,174.25,175.360001,164.00,166.039993,3929500,166.039993
2016-01-12,172.399994,173.490005,169.820007,172.910004,3039600,172.910004
2016-01-11,172.00,172.839996,167.710007,170.369995,3202300,170.369995
